rt	trial_type	trial_index	trial_index_global	time_elapsed	subject	condition	problems	moveNum	src	category	imageName	init_locationsX	init_locationsY	movesX	movesY	dropTime	dropCorrect	dropPosition	final_locationsX	final_locationsY	problem_type	responseL	responseR
59469	passive-sort	0	3	199084	p111472	passive	pbp28	9	lib/images/pbp28/problem/pbp28_1-3.jpg	right	pbp28_1-3.jpg	755	455	1054	455	46016	1	right	1054	455	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	10	lib/images/pbp28/problem/pbp28_3-1.jpg	left	pbp28_3-1.jpg	645	455	125	455	47715	1	left	125	455	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	11	lib/images/pbp28/problem/pbp28_2-1.jpg	left	pbp28_2-1.jpg	425	235	125	348	49734	1	left	125	348	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	12	lib/images/pbp28/problem/pbp28_1-4.jpg	right	pbp28_1-4.jpg	535	345	127	259	50917	0	left	1054	348	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	13	lib/images/pbp28/problem/pbp28_1-4.jpg	right	pbp28_1-4.jpg	535	345	1054	348	53225	1	right	1054	348	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	14	lib/images/pbp28/problem/pbp28_3-3.jpg	right	pbp28_3-3.jpg	535	455	1054	241	55405	1	right	1054	241	pbp28	These will roll.	These will not roll.
59469	passive-sort	0	3	199084	p111472	passive	pbp28	15	lib/images/pbp28/problem/pbp28_1-2.jpg	left	pbp28_1-2.jpg	425	345	125	241	56467	1	left	125	241	pbp28	These will roll.	These will not roll.
22355	test-sort	0	6	240619	p111472	passive	pbp28	1	lib/images/pbp28/test/pbp28_5-2.jpg	left	pbp28_5-2.jpg	590	306	191.5	556	3313	1	left	191.5	556	pbp28	These will roll.	These will not roll.
22355	test-sort	0	6	240620	p111472	passive	pbp28	2	lib/images/pbp28/test/pbp28_4-2.jpg	left	pbp28_4-2.jpg	590	306	191.5	556	5157	1	left	191.5	556	pbp28	These will roll.	These will not roll.
22355	test-sort	0	6	240620	p111472	passive	pbp28	3	lib/images/pbp28/test/pbp28_5-3.jpg	right	pbp28_5-3.jpg	590	306	988.5	556	6937	1	right	988.5	556	pbp28	These will roll.	These will not roll.
